,0
0,5.774684669109968e-07
1,5.774684669109968e-07
2,2.690601991401336e-07
3,1.4766323637298527e-07
4,1.4766323637298527e-07
5,1.4766323637298527e-07
6,7.083288711367964e-07
7,7.083288711367964e-07
8,2.639770620917756e-07
9,2.639770620917756e-07
10,3.9862520326048294e-07
11,3.9862520326048294e-07
12,2.8860989218637697e-07
13,1.239432297464071e-07
14,2.8860989218637697e-07
15,2.6031808940478973e-07
16,4.0999711423700443e-07
17,2.6031808940478973e-07
18,4.0999711423700443e-07
19,1.960796031929518e-07
20,3.5462161972626434e-07
21,3.5462161972626434e-07
22,5.751460833156031e-07
23,5.751460833156031e-07
24,1.3796275057445922e-07
25,1.3629467156246062e-07
26,1.3796275057445922e-07
27,6.221043248835813e-07
28,6.221043248835813e-07
29,1.838691801061112e-07
30,1.6616698702522354e-07
31,7.691835435091082e-08
32,4.6053813140348926e-08
33,4.6053813140348926e-08
34,8.661008178971949e-08
35,4.175897257482786e-07
36,2.011213062558013e-07
37,2.011213062558013e-07
38,1.34814541324138e-07
39,3.9962659196616443e-08
40,1.1895822843893155e-07
41,1.1895822843893155e-07
42,1.1895822843893155e-07
43,5.532922937492204e-07
44,1.0061811159016314e-07
45,6.472437957989866e-07
46,7.9279604396415e-08
47,1.236988766892169e-07
48,1.236988766892169e-07
49,1.236988766892169e-07
50,9.336786409144479e-08
51,9.336786409144479e-08
52,6.239136971896118e-08
53,9.440431963585888e-08
54,6.239136971896118e-08
55,9.440431963585888e-08
56,4.217231088764588e-07
57,4.217231088764588e-07
58,3.2358435680471754e-08
59,3.2358435680471754e-08
60,2.86922994925615e-07
61,4.1286700507868243e-07
62,2.86922994925615e-07
63,5.6062487384988415e-08
64,5.6062487384988415e-08
65,5.6062487384988415e-08
66,3.687995890192025e-08
67,5.759717314487635e-09
68,5.759717314487635e-09
69,5.759717314487635e-09
70,3.53356890459364e-09
71,3.53356890459364e-09
72,3.53356890459364e-09
73,2.435587038815339e-08
74,2.435587038815339e-08
75,5.997373704282363e-08
76,5.997373704282363e-08
77,6.874328534475223e-08
78,2.7689902980121726e-08
79,5.114158351029783e-08
80,1.302158563151565e-08
81,1.3094376767014491e-08
82,5.759717314487635e-09
83,1.211664580348641e-08
84,5.759717314487635e-09
85,3.53356890459364e-09
86,3.53356890459364e-09
87,7.124630572385818e-09
88,2.0845435463239462e-08
89,2.0845435463239462e-08
90,3.089804509617991e-08
91,3.770749022839226e-08
92,4.723171873525379e-08
93,4.723171873525379e-08
94,4.723171873525379e-08
95,1.0567738265061564e-07
96,2.3108508096096616e-07
97,5.318933936803506e-07
98,2.3108508096096616e-07
99,6.037442770531613e-07
100,1.5138728864231106e-07
101,4.372518194078652e-07
102,3.3582225040778803e-07
103,3.3582225040778803e-07
104,1.3542527370273585e-07
105,8.357381563841347e-09
106,8.357381563841347e-09
107,8.357381563841347e-09
108,3.53356890459364e-09
109,3.53356890459364e-09
110,1.1881111468397036e-07
111,1.9663371213077138e-07
112,1.1881111468397036e-07
113,7.406708421427064e-08
114,7.406708421427064e-08
115,1.2173476709565742e-07
116,1.2173476709565742e-07
117,1.3788307052411414e-07
118,1.8784533265155226e-07
119,3.0877654411557653e-07
120,4.584656600618626e-07
121,4.584656600618626e-07
122,1.2948099607826524e-07
123,1.2948099607826524e-07
124,3.8752946103520706e-07
125,7.834057658625629e-07
126,3.8752946103520706e-07
127,2.2697600718138446e-07
128,2.2697600718138446e-07
129,2.2697600718138446e-07
130,1.9220057816901388e-07
131,1.9220057816901388e-07
132,3.2926431440394324e-07
133,9.408528419058884e-07
134,9.408528419058884e-07
135,2.60458310908091e-07
136,2.60458310908091e-07
137,5.653959608885679e-07
138,1.0210533740023477e-06
139,1.0210533740023477e-06
140,7.436803771968594e-07
141,3.53356890459364e-09
142,3.53356890459364e-09
143,2.365102156390114e-07
144,2.365102156390114e-07
145,3.490486907718711e-07
146,3.490486907718711e-07
147,3.490486907718711e-07
148,7.993205238022338e-07
149,2.313744657628288e-07
150,8.905916527019646e-07
151,2.617158794294417e-06
152,2.617158794294417e-06
153,1.4583018490943496e-07
154,1.4583018490943496e-07
155,3.509230082678029e-07
156,3.509230082678029e-07
157,5.43910859066083e-07
158,2.007927841161169e-06
159,2.007927841161169e-06
160,2.081625490631134e-06
161,1.189745114849123e-06
162,1.189745114849123e-06
163,2.48602341583165e-07
164,1.831026436720793e-07
165,1.474360118233449e-07
166,1.831026436720793e-07
167,7.621537853348055e-07
168,7.621537853348055e-07
169,7.621537853348055e-07
170,1.7735149459753058e-07
171,2.6834712818026455e-07
172,2.6834712818026455e-07
173,3.912209512326204e-07
174,3.984841433723015e-07
175,3.912209512326204e-07
176,1.930589788288395e-07
177,1.930589788288395e-07
178,7.294969404215884e-07
179,7.294969404215884e-07
180,4.833456838293738e-07
181,1.29924248669484e-07
182,6.923718391832148e-08
183,6.923718391832148e-08
184,2.66043772487824e-07
185,5.565793169040583e-07
186,5.565793169040583e-07
187,4.697185721676406e-07
188,4.697185721676406e-07
189,4.697185721676406e-07
190,2.550752393174043e-07
191,2.9848386608027594e-08
192,2.9848386608027594e-08
193,2.9848386608027594e-08
194,1.3514927507342762e-07
195,1.3514927507342762e-07
196,5.759717314487635e-09
197,5.759717314487635e-09
198,1.4052560181763826e-07
199,1.4052560181763826e-07
200,3.347939870854844e-07
201,6.039206794465984e-07
202,6.039206794465984e-07
203,6.274944894949013e-07
204,5.104241421072667e-07
205,5.104241421072667e-07
206,6.100907066490084e-08
207,4.515358059301141e-08
208,6.100907066490084e-08
209,2.979076658623163e-07
210,2.979076658623163e-07
211,2.979076658623163e-07
212,3.8047805929725073e-07
213,3.8047805929725073e-07
214,1.877277332555577e-07
215,4.8982995190022535e-08
216,5.6974381089563825e-08
217,5.6974381089563825e-08
218,1.655729859406754e-07
219,5.88633850868846e-07
220,1.900872553799053e-07
221,1.900872553799053e-07
222,1.7212514609372066e-07
223,3.53356890459364e-09
224,3.53356890459364e-09
225,2.9369844270995073e-08
226,1.709602488175685e-07
227,3.1340589373487464e-07
228,2.709762528971563e-07
229,2.709762528971563e-07
230,2.0097490719823132e-07
231,2.0097490719823132e-07
232,4.280009297909335e-07
233,4.280009297909335e-07
234,3.1536128121294623e-07
235,3.1536128121294623e-07
236,5.452801244433859e-08
237,4.9257231315860326e-08
238,4.0208470787946175e-08
239,4.9257231315860326e-08
240,4.977364644034108e-08
241,4.977364644034108e-08
242,4.977364644034108e-08
243,1.6853428578245828e-08
244,1.857579889471502e-07
245,6.735423670243994e-08
246,1.3661155886099868e-07
247,8.70137556458028e-08
248,1.3661155886099868e-07
249,1.4886444512409345e-07
250,2.224425617505469e-07
251,2.224425617505469e-07
252,2.224425617505469e-07
253,6.996777763368392e-08
254,6.996777763368392e-08
255,2.9499942895763806e-08
256,4.797322770912457e-08
257,4.797322770912457e-08
258,7.422396772575099e-08
259,7.422396772575099e-08
260,7.422396772575099e-08
261,3.53356890459364e-09
262,5.4033639955816006e-08
263,3.53356890459364e-09
264,5.4033639955816006e-08
265,2.2689787612680417e-07
266,2.2689787612680417e-07
267,4.8720958867258125e-08
268,4.8720958867258125e-08
269,8.437734218684533e-08
270,8.437734218684533e-08
271,1.7318169852191302e-07
272,1.7318169852191302e-07
273,1.7318169852191302e-07
274,7.683110000015116e-08
275,6.591348951631804e-08
276,5.81066309882078e-08
277,5.81066309882078e-08
278,1.0332401826153696e-08
279,1.0332401826153696e-08
280,3.53356890459364e-09
281,3.53356890459364e-09
282,3.53356890459364e-09
283,1.4148129209976232e-08
